age,income,employment_type,marital_status,time_spent_on_platform,number_of_sessions,fields_filled_percentage,previous_year_filing,device_type,referral_source,completed_filing
25,87306,contractor,single,84.00695494990666,10,0.6045871284395802,1,desktop,social_media_ad,1
40,33731,unemployed,married,85.60750810937225,7,0.7741872187030765,0,desktop,friend_referral,1
62,106717,full_time,divorced,111.68726978092354,11,0.8755117807857477,1,desktop,friend_referral,1
63,55256,part_time,divorced,98.91749388299466,11,0.5618252684547624,0,desktop,friend_referral,1
65,22850,unemployed,single,112.8819795993856,11,0.6276621395606331,1,tablet,friend_referral,1
28,99675,full_time,single,106.54023650038624,5,0.7476317254601739,0,tablet,organic_search,1
45,39773,full_time,married,107.84127223949884,9,0.873111200890619,1,desktop,social_media_ad,1
65,71567,part_time,single,105.58400297445516,9,0.6884075011513003,0,tablet,friend_referral,1
33,54409,contractor,single,116.39070729624912,11,0.5474018654366686,0,desktop,friend_referral,1
47,92635,full_time,single,145.29228061515664,12,0.7586002916254215,1,mobile,social_media_ad,1
18,87356,contractor,single,111.5677335294115,13,0.5384867565864152,0,mobile,social_media_ad,1
56,97225,contractor,divorced,107.2295592719148,9,0.963853795195078,0,desktop,social_media_ad,1
59,64527,contractor,single,104.9607615771574,7,0.6028850254951412,1,tablet,friend_referral,1
26,54474,contractor,married,96.18539827191962,3,0.552895951963346,0,tablet,organic_search,1
22,73822,part_time,single,95.68549350209764,15,0.5122108491178041,1,desktop,social_media_ad,1
49,95622,part_time,divorced,94.2113230695779,15,0.926380675547794,1,desktop,social_media_ad,1
50,86788,contractor,married,113.86270404125656,9,0.6252075120295426,0,mobile,friend_referral,1
54,61337,unemployed,divorced,127.89063003925553,10,0.8554516301275745,1,desktop,friend_referral,1
28,39187,part_time,single,100.99842030282238,8,0.544681212430721,0,tablet,social_media_ad,1
44,84824,full_time,single,84.04574041786728,13,0.7005836644841862,1,desktop,friend_referral,1
64,52980,unemployed,divorced,122.88686236918632,9,0.4211208737141408,0,tablet,organic_search,1
25,66250,full_time,single,101.85330677288214,10,0.7338906198421085,0,mobile,social_media_ad,1
37,118970,contractor,married,75.84719393190514,7,0.6445085645670059,1,desktop,friend_referral,1
44,101533,contractor,married,104.16233354952284,10,0.608439397767434,1,tablet,social_media_ad,1
49,55929,unemployed,single,114.44968487132137,8,0.4277108268681309,0,tablet,social_media_ad,0
35,47499,full_time,single,90.68971710199712,12,0.641351467013019,0,tablet,friend_referral,1
58,27910,contractor,married,95.2726135359461,12,0.5526647607164377,0,mobile,social_media_ad,1
51,65807,contractor,single,111.82115204896382,18,0.5795878405665043,0,tablet,friend_referral,1
55,56929,contractor,divorced,69.24627969171324,14,0.9687316978347912,1,desktop,organic_search,1
40,69056,contractor,married,108.80501827244804,13,0.953958098005994,0,mobile,social_media_ad,1
22,112298,contractor,divorced,114.1419977497873,11,0.4341111145631836,0,mobile,social_media_ad,1
39,52214,full_time,divorced,98.25638323334935,11,0.495316339634698,0,tablet,social_media_ad,1
64,46572,unemployed,divorced,101.9699398932434,12,0.550920623434827,1,desktop,social_media_ad,1
34,50935,full_time,single,106.2125450871433,11,0.6268418702020913,1,mobile,organic_search,1
59,44014,unemployed,single,123.32418301949696,8,0.9560552708204711,0,desktop,friend_referral,1
28,114438,part_time,married,80.98932193758635,12,0.8751258137378587,1,tablet,social_media_ad,1
26,42419,full_time,married,151.19124500646546,12,0.928070508439059,0,desktop,social_media_ad,1
19,43777,contractor,single,113.45377049217322,12,0.6016003804020331,0,tablet,social_media_ad,1
24,63074,unemployed,divorced,96.14190147954302,12,0.5150997133667218,0,mobile,friend_referral,1
24,71586,unemployed,married,102.74587750698645,8,0.4674675900405058,0,desktop,social_media_ad,1
42,31357,contractor,single,98.44328100352234,11,0.5399268710881476,0,tablet,social_media_ad,1
30,66686,contractor,single,109.0919541455989,7,0.7220861764338449,1,desktop,social_media_ad,1
27,25801,contractor,single,89.40132416511666,10,0.6388886537833864,0,desktop,organic_search,1
63,119667,full_time,divorced,76.21393336394864,12,0.5952219019542556,1,desktop,organic_search,1
65,37322,part_time,married,96.75025964856825,7,0.4922884540036762,1,desktop,friend_referral,1
29,80186,part_time,married,74.90393797824787,10,0.7511778879742883,1,tablet,friend_referral,1
56,25609,full_time,married,99.57751499721782,10,0.762733652330718,1,mobile,friend_referral,1
30,115676,full_time,divorced,76.4677263360386,14,0.7011169418602021,1,tablet,friend_referral,1
59,82370,contractor,divorced,105.77708297869272,6,0.4856157852634324,1,tablet,social_media_ad,1
30,114496,contractor,married,86.32380921721698,7,0.4545853076415487,0,tablet,social_media_ad,1
43,95020,full_time,married,142.62454952197345,14,0.7746812863047783,1,mobile,friend_referral,1
58,94099,contractor,divorced,112.19184912412844,9,0.9319665487591512,0,mobile,social_media_ad,1
57,112837,full_time,divorced,80.00411409937897,10,0.781548466325443,1,mobile,social_media_ad,1
22,64331,part_time,married,129.05306156769387,9,0.4475533186809685,1,mobile,organic_search,1
53,96524,part_time,divorced,87.40866810448114,6,0.5712266087906188,0,desktop,organic_search,1
23,110777,contractor,single,150.7781674725347,14,0.4791683972224045,1,desktop,organic_search,1
24,63298,full_time,divorced,148.75340976856046,7,0.7641627967423184,1,mobile,organic_search,1
38,119287,full_time,single,85.14315616944721,4,0.7232497476171384,1,mobile,organic_search,1
25,52427,contractor,married,93.78174293581728,10,0.991631433504056,0,tablet,organic_search,1
25,105119,contractor,married,90.9098390529145,9,0.9061117346249308,1,mobile,organic_search,1
31,95318,part_time,single,113.38816429567632,5,0.9972798780979149,0,mobile,social_media_ad,1
45,43464,contractor,married,81.00201861640859,4,0.4279066889604798,0,desktop,social_media_ad,1
36,81799,contractor,single,104.13917802168572,17,0.5372213107260984,1,mobile,organic_search,1
60,27697,contractor,single,91.14259171065898,9,0.6247632309186428,0,desktop,friend_referral,0
46,79412,full_time,divorced,129.75551590834405,6,0.958087947335542,0,desktop,organic_search,1
43,97694,part_time,married,130.7983029178065,6,0.7617175780578678,0,desktop,organic_search,1
55,42634,full_time,single,76.57507713925362,9,0.567992838652787,1,desktop,social_media_ad,1
22,71033,part_time,married,122.51345073368014,7,0.7448402967817733,0,tablet,friend_referral,1
23,80815,full_time,married,92.54530425135562,15,0.7510509849519522,0,desktop,social_media_ad,1
45,104523,contractor,single,113.25631232800067,12,0.7293393276098321,0,mobile,social_media_ad,1
40,119508,contractor,married,112.64476878683492,5,0.6967602531056338,1,tablet,social_media_ad,1
58,51390,unemployed,married,76.32116918745668,12,0.9030351593041162,0,desktop,friend_referral,1
59,93606,part_time,divorced,137.25190197202346,8,0.6183360732012142,0,mobile,organic_search,1
63,88475,unemployed,single,79.09013565365156,11,0.7787097133470016,0,tablet,organic_search,1
44,44502,full_time,married,117.35217654207054,19,0.5865952582842459,1,tablet,social_media_ad,1
18,113246,contractor,single,61.1650111686965,8,0.924687823873633,0,mobile,friend_referral,1
65,96290,unemployed,single,76.50629812090868,11,0.4603765763570326,1,mobile,organic_search,1
38,22763,full_time,single,123.94456205579536,8,0.6324071204375679,1,mobile,organic_search,1
43,43147,full_time,single,59.80071780348152,10,0.544880472336035,0,mobile,social_media_ad,1
49,54754,part_time,divorced,78.46543891132082,11,0.9447576681312616,1,mobile,friend_referral,1
28,104178,part_time,divorced,103.4900113842082,11,0.5561236303518619,0,tablet,organic_search,1
18,71428,part_time,divorced,99.76014972888323,12,0.9480668477211524,0,mobile,social_media_ad,1
22,65066,unemployed,single,67.89247780567038,10,0.7982588637246171,0,tablet,organic_search,1
37,77616,full_time,single,88.14575992627184,11,0.688426486973357,0,tablet,organic_search,1
51,69589,full_time,single,75.25155106541919,10,0.710568574454765,1,tablet,social_media_ad,1
53,68075,contractor,single,110.43564077308596,14,0.5582974220106417,0,tablet,friend_referral,1
47,85603,unemployed,divorced,138.17919482530823,9,0.9234093398666008,1,desktop,social_media_ad,1
38,98916,contractor,married,132.09249416109893,9,0.9266847850743064,0,desktop,social_media_ad,1
47,30367,contractor,single,118.53521415110431,8,0.7887506671528908,0,desktop,organic_search,1
40,44816,part_time,divorced,134.10746036060218,6,0.6803736303686603,1,mobile,social_media_ad,1
59,62818,contractor,married,107.04195248643715,13,0.4708695558953597,0,tablet,social_media_ad,1
36,38562,part_time,divorced,112.11472563788402,9,0.9012543836079212,0,mobile,friend_referral,1
31,117649,part_time,single,122.17152560636544,14,0.9521735254074036,0,tablet,friend_referral,1
21,78097,unemployed,married,97.5481755629102,11,0.8059933913926932,0,desktop,organic_search,1
40,107593,full_time,single,91.62264688782982,5,0.5546727327389944,1,tablet,friend_referral,1
19,53576,contractor,married,93.79768338441548,9,0.7208466742643265,1,desktop,organic_search,1
38,49932,full_time,divorced,105.85358237643672,10,0.5494543331808549,1,mobile,social_media_ad,1
43,49877,full_time,single,85.26980692130685,10,0.8595985264232838,0,mobile,social_media_ad,1
63,53455,unemployed,single,102.31231553706412,12,0.9478923430614674,0,tablet,social_media_ad,1
27,80610,part_time,divorced,118.05562137202308,14,0.46963013784855,0,desktop,organic_search,1
64,108302,part_time,single,113.19860739454774,6,0.8142385739245569,0,mobile,social_media_ad,1
50,112446,part_time,divorced,129.543514667366,7,0.511251416859896,1,desktop,social_media_ad,1
39,66142,part_time,divorced,101.362412936976,10,0.5171161874313454,1,mobile,friend_referral,1
57,96669,contractor,single,88.73053761708668,9,0.7109268524568748,1,desktop,social_media_ad,1
18,81293,full_time,married,91.61870510372954,8,0.939751450509012,0,desktop,organic_search,1
22,59791,part_time,single,75.16175762879044,9,0.6099866100534272,1,tablet,social_media_ad,1
48,41398,part_time,married,93.16217854169054,6,0.8831747697826395,0,desktop,social_media_ad,1
50,48022,full_time,divorced,86.86281545561003,16,0.6443782466302005,0,desktop,social_media_ad,1
60,49063,contractor,divorced,88.26580183702426,8,0.9784790397432636,0,tablet,social_media_ad,1
43,30400,full_time,married,104.79987010253365,9,0.6767173623713599,1,tablet,social_media_ad,1
42,20060,unemployed,married,130.06698128651522,13,0.6200621697405699,1,mobile,social_media_ad,0
40,105712,full_time,single,76.43421972143125,14,0.6238799000489772,1,mobile,organic_search,1
39,28123,part_time,married,83.2256683436803,10,0.7752432142083429,1,mobile,social_media_ad,1
26,21044,full_time,divorced,107.20261178950264,12,0.7108973725808365,1,desktop,organic_search,1
60,94229,unemployed,married,101.7741992685374,11,0.5037713669441912,0,desktop,social_media_ad,1
34,95403,contractor,divorced,52.177408077738185,15,0.8423609281734541,0,mobile,social_media_ad,1
47,22147,unemployed,divorced,101.0333147140482,15,0.7960402792431159,0,tablet,organic_search,1
64,22105,part_time,divorced,146.4413820136856,17,0.4920829057415241,1,mobile,friend_referral,1
18,105936,part_time,single,106.37233280398918,10,0.4872202725382826,0,mobile,friend_referral,1
41,48557,contractor,married,65.31313222551225,8,0.6563814458188424,0,mobile,social_media_ad,0
63,26638,contractor,married,146.27066880504904,9,0.8305034906607907,0,desktop,social_media_ad,0
62,64354,contractor,married,104.45779475102472,7,0.407471014868686,0,mobile,social_media_ad,1
37,95900,contractor,married,79.83192147656995,10,0.5175681685433172,0,mobile,organic_search,1
34,46370,full_time,married,102.58865874509776,11,0.6284763136373577,1,mobile,organic_search,1
36,88359,full_time,divorced,96.09543710592216,13,0.4892162863994713,1,desktop,social_media_ad,1
50,92374,full_time,divorced,106.82495956295952,8,0.9183256467589378,1,mobile,social_media_ad,1
45,64149,contractor,divorced,105.53264808732882,11,0.96296262121001,1,tablet,friend_referral,1
56,39177,part_time,single,115.18400518706372,12,0.6585998734914578,0,tablet,friend_referral,1
49,62495,part_time,single,77.41311130402528,8,0.6519257853620226,0,tablet,friend_referral,1
34,70626,full_time,single,84.34283994835818,11,0.7653233823736225,1,tablet,friend_referral,1
32,52933,contractor,divorced,113.2914071355576,8,0.6718464812247305,0,tablet,friend_referral,1
34,117137,unemployed,married,99.68932303929162,15,0.596939592786398,0,mobile,friend_referral,1
57,111679,contractor,single,92.09511349143644,5,0.6027402650551399,0,mobile,social_media_ad,1
30,62367,unemployed,divorced,118.4027559759594,5,0.4751706751467952,0,desktop,social_media_ad,0
25,75878,contractor,divorced,138.67226152345063,5,0.7797418459004783,0,mobile,friend_referral,1
18,53896,contractor,single,96.73598984503886,11,0.4430913559912141,0,mobile,organic_search,0
44,65156,contractor,single,94.17121318105916,7,0.8688359381345427,1,desktop,friend_referral,1
58,114699,full_time,single,125.3308468922093,11,0.8994682433651946,0,mobile,friend_referral,1
59,21132,unemployed,divorced,108.6590713105717,16,0.5084444166261275,0,tablet,friend_referral,1
64,79117,part_time,single,97.798756965108,13,0.9627237902301632,0,mobile,friend_referral,1
30,103087,full_time,married,86.03555555052498,13,0.4014271609681424,0,tablet,social_media_ad,1
47,103860,part_time,divorced,113.15211137275688,15,0.8758458826921337,0,tablet,friend_referral,1
40,45613,part_time,divorced,102.74444257053514,17,0.9795365192570896,0,tablet,friend_referral,0
31,44648,unemployed,married,76.53173947509359,12,0.5734439415989638,0,tablet,organic_search,1
56,97004,part_time,single,108.06784160201116,8,0.4670483102574923,0,mobile,friend_referral,1
20,106489,full_time,married,80.69211430169204,14,0.9665882120083644,0,mobile,social_media_ad,1
60,70705,part_time,divorced,69.34384199313588,7,0.8546866957304378,0,desktop,organic_search,1
52,114090,contractor,divorced,131.23550969043373,7,0.9767466517954656,1,desktop,organic_search,1
63,83217,part_time,divorced,130.9045081874275,7,0.972584445484582,0,desktop,social_media_ad,1
63,88472,contractor,divorced,139.87257565037035,12,0.9596465950879648,0,tablet,organic_search,1
47,103564,full_time,married,97.3797050896199,6,0.7755000825762752,1,mobile,social_media_ad,1
62,61445,full_time,married,112.0288394384694,12,0.7484241220042249,0,tablet,organic_search,1
45,37948,contractor,single,91.78095863970952,9,0.8302078682626648,0,desktop,organic_search,1
64,88049,contractor,single,108.3165396622962,6,0.6350907365879249,0,desktop,organic_search,0
57,98533,unemployed,married,98.46822879365298,7,0.928778840002906,0,mobile,social_media_ad,1
47,109452,full_time,married,124.06976850856688,8,0.6261036103071353,1,mobile,social_media_ad,1
35,69999,unemployed,single,94.97747389121352,6,0.5092987325083342,0,mobile,organic_search,1
64,89351,part_time,married,83.3339649491567,11,0.6288853737545759,0,tablet,organic_search,1
56,57052,unemployed,divorced,123.9710140622416,15,0.6341819524610969,1,tablet,organic_search,1
43,99414,part_time,divorced,62.4904847440471,9,0.5854235973462608,0,desktop,social_media_ad,1
65,96276,part_time,single,88.75752127114598,13,0.8307450723554626,0,mobile,organic_search,1
20,48469,contractor,divorced,80.49867271589568,7,0.434689120113716,0,mobile,social_media_ad,1
43,84486,full_time,divorced,96.47383034753322,5,0.5214518015563859,0,desktop,organic_search,1
45,94777,contractor,married,99.59517050623022,9,0.9694208482709744,0,tablet,friend_referral,1
18,95135,part_time,married,83.9714024910339,12,0.5691157646671161,0,mobile,friend_referral,1
40,34429,full_time,single,73.05370116903276,9,0.5404981993908482,0,desktop,organic_search,1
53,102839,part_time,single,103.68048289534724,9,0.6581692359918794,0,desktop,organic_search,1
40,82888,unemployed,single,95.26205018590392,11,0.7427702116994244,0,mobile,social_media_ad,1
29,29637,part_time,divorced,109.02305639477244,10,0.5130468380206749,1,mobile,social_media_ad,1
34,64116,contractor,married,103.24706396524476,8,0.9839526974821704,0,mobile,social_media_ad,1
24,24078,full_time,divorced,72.62539074096334,17,0.4330696973747635,1,desktop,organic_search,1
61,94531,full_time,single,72.0267618975426,10,0.4887089679760376,0,desktop,organic_search,1
53,33440,unemployed,married,132.82317203510644,8,0.9663425680090488,0,desktop,organic_search,1
44,87313,part_time,single,88.11302534420078,13,0.962294491407929,0,mobile,social_media_ad,1
21,57879,full_time,divorced,117.0177445751628,6,0.6255058067516576,0,tablet,social_media_ad,1
60,111656,full_time,married,93.34299469996412,9,0.9648699100897918,1,mobile,social_media_ad,1
55,118530,full_time,divorced,102.56877409922468,12,0.598188632255051,0,tablet,friend_referral,0
23,21779,unemployed,divorced,95.88112676579468,12,0.7821534364338575,0,desktop,organic_search,1
44,52334,part_time,divorced,110.21466241837189,12,0.9449743026490792,1,mobile,social_media_ad,1
63,24011,part_time,married,118.53524719836328,11,0.785601515515433,0,mobile,organic_search,1
31,64786,full_time,single,120.73631307720076,13,0.7180140431195656,0,mobile,organic_search,1
34,58885,full_time,divorced,93.3337061056948,8,0.4625344517131942,0,mobile,social_media_ad,1
25,82320,contractor,divorced,57.55115006349413,7,0.8407319742649939,0,mobile,friend_referral,1
48,39627,part_time,divorced,91.24522556435048,6,0.5726545376868581,1,desktop,social_media_ad,1
31,61347,part_time,single,92.02616199942146,17,0.4715868755542058,0,desktop,friend_referral,1
34,51225,part_time,single,112.13650224882676,15,0.512234308574014,1,tablet,organic_search,1
61,61662,part_time,married,106.57218383807418,9,0.5012001630528762,0,mobile,social_media_ad,0
52,106551,full_time,single,100.3781262598562,9,0.721528107334787,0,desktop,social_media_ad,1
34,28346,contractor,divorced,105.27074513854988,11,0.576344447724613,0,tablet,friend_referral,1
45,93290,contractor,married,76.95609397830916,14,0.6031168996863064,1,mobile,organic_search,1
44,28177,full_time,divorced,73.39338294106594,11,0.738526222180563,1,tablet,friend_referral,1
33,40028,contractor,married,120.55345739375898,11,0.6729945873896408,1,desktop,social_media_ad,1
19,76022,contractor,married,93.65620261702384,8,0.7847868754619691,0,tablet,organic_search,1
42,99788,contractor,divorced,81.91053912793956,18,0.9322900213005528,0,tablet,social_media_ad,1
45,55321,contractor,divorced,84.96688219779215,12,0.8051198019027603,1,desktop,social_media_ad,1
18,40842,unemployed,single,137.56444770841753,16,0.7250873887628799,0,mobile,organic_search,1
50,38108,contractor,married,73.64822759315516,15,0.7976928511230486,1,tablet,friend_referral,1
60,28399,part_time,married,90.52580523172512,7,0.9017811573520996,0,mobile,friend_referral,1
56,93493,part_time,divorced,81.46009213099984,8,0.8092780800910674,0,mobile,social_media_ad,1
21,52006,part_time,single,96.8748054895313,11,0.881745484239891,0,desktop,social_media_ad,1
44,24758,full_time,divorced,87.36638099688705,9,0.7308915379194731,1,mobile,friend_referral,1
34,84093,contractor,divorced,92.65024342878472,5,0.4110376555969198,0,desktop,social_media_ad,0
65,40746,full_time,divorced,105.2184331361341,9,0.7416911182367305,1,mobile,organic_search,1
38,106567,contractor,divorced,64.21318842016831,12,0.9002150569451431,0,mobile,friend_referral,1
31,62771,full_time,divorced,109.2479206888119,10,0.4017802352262946,0,tablet,organic_search,1
26,26895,full_time,married,134.24684649955353,11,0.6165726122432513,0,mobile,social_media_ad,0
47,110198,full_time,married,133.18744760560944,9,0.7453821025744878,1,desktop,friend_referral,1
59,75565,contractor,married,104.23074890583425,5,0.4640274659906824,0,tablet,organic_search,1
36,39787,part_time,married,128.98657215903367,9,0.7797389401566444,0,tablet,organic_search,1
37,40625,unemployed,married,110.41513546762924,16,0.858979415118234,1,mobile,social_media_ad,1
18,113450,part_time,divorced,77.34088273557214,10,0.7760737245079574,1,tablet,friend_referral,1
61,88546,contractor,divorced,103.22121212825805,12,0.7580361787206085,0,mobile,organic_search,1
49,24792,part_time,divorced,102.91927016835383,12,0.6099378950248552,1,desktop,social_media_ad,1
49,80430,part_time,married,95.73378091103088,13,0.746374134181987,0,mobile,social_media_ad,1
52,40365,contractor,divorced,117.24612768829056,12,0.621231709371178,1,mobile,organic_search,1
64,37733,part_time,divorced,134.5843028655243,9,0.8681209603577034,1,desktop,friend_referral,1
34,98353,part_time,divorced,104.0498050201812,11,0.987881215548152,0,tablet,organic_search,1
61,111066,full_time,single,101.22375529579776,5,0.4516775002087915,1,tablet,organic_search,1
35,54493,unemployed,single,86.59192440712069,11,0.920174719367361,1,mobile,organic_search,1
23,41360,unemployed,single,129.32576344678472,20,0.640573335756558,1,mobile,friend_referral,1
44,29726,part_time,married,103.67447903755344,7,0.8234282111955873,0,desktop,social_media_ad,1
57,102643,contractor,divorced,87.13506820613942,9,0.7945720019878235,1,tablet,organic_search,1
54,103232,unemployed,married,88.13111350238844,7,0.8082221314301612,0,mobile,friend_referral,1
64,108657,full_time,single,76.82231355452853,3,0.4495319717393238,1,desktop,friend_referral,1
39,27194,part_time,divorced,130.5620652542598,12,0.6006598706498149,0,desktop,friend_referral,1
48,33569,contractor,divorced,83.90685473571742,11,0.4717204050872735,0,tablet,friend_referral,1
61,49059,part_time,single,82.04746916445477,9,0.7874797626564705,1,tablet,organic_search,1
31,20835,full_time,married,101.91765398256344,11,0.4146390240047495,0,tablet,friend_referral,0
45,35630,full_time,married,80.03948787350083,13,0.9094009306451916,0,mobile,organic_search,1
21,25197,full_time,single,103.8317421278794,11,0.9754805853671638,1,tablet,friend_referral,1
33,87616,full_time,married,81.93588153743268,10,0.5592890958279453,0,tablet,friend_referral,1
58,30692,full_time,divorced,154.30298634445035,7,0.6083019388208828,0,desktop,organic_search,1
43,96427,unemployed,married,73.13333795442668,13,0.4428011231964132,0,mobile,friend_referral,1
61,23720,contractor,single,115.16498068423924,13,0.9626051352931588,0,mobile,organic_search,1
41,30619,part_time,married,121.0308502237255,6,0.9663690381161838,1,desktop,organic_search,1
31,110025,full_time,single,101.32037498686394,8,0.6317765825181679,0,mobile,social_media_ad,1
31,78232,unemployed,single,106.44402861664584,6,0.941844940215228,1,mobile,organic_search,1
21,107954,contractor,divorced,99.03274726830983,5,0.7901834205805248,1,desktop,friend_referral,1
19,71796,full_time,single,79.08085032218827,4,0.7801324478479426,1,tablet,friend_referral,1
49,39581,contractor,single,89.98689563908482,9,0.7543813394767824,0,desktop,friend_referral,1
37,39738,part_time,divorced,120.62469810148002,11,0.6127829555811931,1,mobile,organic_search,1
18,70733,full_time,married,99.08052891393038,10,0.4323204333763784,1,mobile,social_media_ad,1
45,119811,contractor,divorced,98.71952499201088,11,0.5568246429700169,1,tablet,social_media_ad,1
34,117975,full_time,married,94.91022508133564,3,0.8681785512295018,0,desktop,organic_search,1
26,48931,unemployed,single,56.29024528291417,11,0.7260671933089651,1,tablet,social_media_ad,1
50,46905,part_time,divorced,137.90842013574394,7,0.5481427865697718,0,mobile,social_media_ad,1
60,111632,part_time,married,107.78604761045278,11,0.7056622402334299,0,tablet,social_media_ad,1
20,82619,full_time,divorced,89.188203736036,10,0.8924116969071868,1,mobile,social_media_ad,1
46,79754,full_time,divorced,124.780780597772,13,0.7846969867685569,0,tablet,friend_referral,1
45,24131,full_time,divorced,73.04890265781808,12,0.4138901087159627,1,mobile,organic_search,1
52,30345,part_time,married,104.33466726088542,10,0.6353585759989187,1,mobile,organic_search,1
41,116387,part_time,single,85.42406771125721,12,0.4514606828100697,1,mobile,organic_search,1
56,39942,contractor,married,108.20386740094328,10,0.8284319331810146,0,mobile,friend_referral,1
